"ANNOUNCEMENT_NUMBER","COMPANY_ID","CREATED_ON","BALANCE_DATE","AMOUNT","SHAREHOLDER_FUNDS","INTANGIBLES","EFPO_ISSUED_SHARES","CURRENCY_ID","LAST_EOY_DATE","COY_COMPANY_NO","COA_LAST_MODIFIED","COA_RELEASE_DATETIME","COA_ANN_TYPE","INS_ISIN","INS_ISIN_SUFFIX","INS_INSTR_CODE"
220193,"PGC000000",29/02/2012,31/12/2011,-27106000,118011000,10451000,216629610,"NZD",30/06/2011,"PGC000000",29/02/2012,29/02/2012,"HALFYR","NZPGCE0001S6","  ","PGC"
187612,"CVT000000",12/11/2009,30/09/2009,1632000,62191000,43095000,28505983,"NZD",31/03/2009,"CVT000000",12/11/2009,12/11/2009,"HALFYR","NZCVTE0001S7","  ","CVT"
187619,"BLT000000",12/11/2009,30/09/2009,-180000,1739000,1361000,138846586,"NZD",31/03/2009,"BLT000000",12/11/2009,12/11/2009,"HALFYR","NZBLTE0002S8","  ","BLT"
225320,"LIC000000",26/07/2012,31/05/2012,24387000,196205000,29152000,29528590,"NZD",31/05/2011,"LIC000000",26/07/2012,26/07/2012,"FLLYR","NZLICE0001S1","  ","LIC"
225371,"OGC000000",30/08/2012,30/06/2012,-3128000,489252000,0,262886876,"USD",31/12/2011,"OGC000000",27/07/2012,27/07/2012,"HALFYR","CA6752221037","  ","OGC"
161172,"DGL000000",28/02/2008,31/12/2007,6376000,102474000,1039000,100300000,"NZD",30/06/2007,"DGL000000",28/02/2008,28/02/2008,"HALFYR","NZDGLE0001S3","  ","DGL"
225896,"CEN000000",13/08/2012,30/06/2012,190429000,3417672000,369961000,718670307,"NZD",30/06/2011,"CEN000000",14/08/2012,14/08/2012,"FLLYR","NZCENE0001S6","  ","CEN"
225916,"GFF000000",06/06/2013,30/06/2012,-146900000,1369100000,1469300000,1955559207,"AUD",30/06/2011,"GFF000000",14/08/2012,14/08/2012,"FLLYR","AU000000GFF8","  ","GFF"
233077,"CEN000000",19/02/2013,31/12/2012,88000000,3497000000,397000000,736398493,"NZD",30/06/2012,"CEN000000",19/02/2013,19/02/2013,"HALFYR","NZCENE0001S6","  ","CEN"
233102,"APT000000",20/02/2013,31/12/2012,23600000,875400000,0,997069794,"NZD",30/06/2012,"APT000000",19/02/2013,19/02/2013,"HALFYR","NZAPTE0001S3","  ","PCT"
233115,"HBY000000",19/02/2013,31/12/2012,6177000,153198000,62549000,75781638,"NZD",30/06/2012,"HBY000000",19/02/2013,19/02/2013,"HALFYR","NZHBYE0001S8","  ","HBY"
233123,"EBO000000",19/02/2013,31/12/2012,14959000,215903000,217915000,52599222,"NZD",30/06/2012,"EBO000000",19/02/2013,19/02/2013,"HALFYR","NZEBOE0001S6","  ","EBO"
225178,"AFI000000",23/07/2012,30/06/2012,219774000,3950819000,0,1027732653,"AUD",30/06/2011,"AFI000000",23/07/2012,23/07/2012,"FLLYR","AU000000AFI5","  ","AFI"
226369,"SPN000000",23/08/2012,30/06/2012,5989000,29572000,0,26234898,"NZD",30/06/2011,"SPN000000",23/08/2012,23/08/2012,"FLLYR","NZSPNE0001S8","  ","SPN"
226370,"NZR000000",23/08/2012,30/06/2012,-1532000,542913000,2774000,280000000,"NZD",31/12/2011,"NZR000000",23/08/2012,23/08/2012,"HALFYR","NZNZRE0001S9","  ","NZR"
226529,"NWF000000",27/08/2012,30/06/2012,-24599000,74646000,5045000,288063584,"NZD",30/06/2011,"NWF000000",28/08/2012,28/08/2012,"FLLYR","NZNWFE0001S1","  ","NWF"
226543,"TTK000000",28/08/2012,30/06/2012,5399000,28378000,17038000,23381776,"NZD",30/06/2011,"TTK000000",28/08/2012,28/08/2012,"FLLYR","NZTTKE0001S4","  ","VTL"
225945,"DIL000000",15/08/2012,30/06/2012,3357813,7734654,289736,81901191,"USD",31/12/2011,"DIL000000",15/08/2012,15/08/2012,"HALFYR","NZDILE0001S9","  ","DIL"
225968,"SKC000000",14/08/2012,30/06/2012,138870000,807438000,410645000,576958340,"NZD",30/06/2011,"SKC000000",15/08/2012,15/08/2012,"FLLYR","NZSKCE0001S2","  ","SKC"
225976,"APT000000",14/08/2012,30/06/2012,45100000,877200000,0,997069794,"NZD",30/06/2011,"APT000000",15/08/2012,15/08/2012,"FLLYR","NZAPTE0001S3","  ","PCT"
226930,"WSI000000",04/09/2012,30/06/2012,2238000,34679000,6165000,68988000,"NZD",30/06/2011,"WSI000000",05/09/2012,05/09/2012,"FLLYR","NZWSIE0001S4","  ","WSI"
233145,"TME000000",20/02/2013,31/12/2012,37368000,645496000,777097000,396017568,"NZD",30/06/2012,"TME000000",20/02/2013,20/02/2013,"HALFYR","NZTMEE0003S8","  ","TME"
233150,"FBU000000",20/02/2013,31/12/2012,146000000,3608000000,1744000000,684793538,"NZD",30/06/2012,"FBU000000",20/02/2013,20/02/2013,"HALFYR","NZFBUE0001S0","  ","FBU"
233171,"SDL000000",20/02/2013,31/12/2012,-18000,1176000,1298000,13007179,"NZD",30/06/2012,"SDL000000",20/02/2013,20/02/2013,"HALFYR","NZSDLE0001S8","  ","SDL"
233474,"GPG000000",27/02/2013,31/12/2012,-3000000,434000000,169000000,1543096821,"GBP",31/12/2011,"GPG000000",27/02/2013,27/02/2013,"FLLYR","GB00B4YZN328","  ","COA"
233475,"PGW000000",27/02/2013,31/12/2012,4247000,581260000,343187000,754848774,"NZD",30/06/2012,"PGW000000",27/02/2013,27/02/2013,"HALFYR","NZREIE0001S4","  ","PGW"
233494,"CUE000000",27/02/2013,31/12/2012,3220000,128376000,188000,698119720,"AUD",30/06/2012,"CUE000000",27/02/2013,27/02/2013,"HALFYR","AU000000CUE9","  ","CUE"
233499,"ATM000000",27/02/2013,31/12/2012,554000,57364000,13421000,606508069,"NZD",30/06/2012,"ATM000000",27/02/2013,27/02/2013,"HALFYR","NZATME0002S8","  ","ATM"
233514,"MGL000000",27/02/2013,31/12/2012,461000,16950000,8829000,239695716,"NZD",30/06/2012,"MGL000000",27/02/2013,27/02/2013,"HALFYR","NZBWYE0001S7","  ","MGL"
233517,"TTK000000",27/02/2013,31/12/2012,1704000,40026000,34046000,28051019,"NZD",30/06/2012,"TTK000000",27/02/2013,27/02/2013,"HALFYR","NZTTKE0001S4","  ","VTL"
233518,"NZR000000",27/02/2013,31/12/2012,32624000,571518000,1956000,280000000,"NZD",31/12/2011,"NZR000000",27/02/2013,27/02/2013,"FLLYR","NZNZRE0001S9","  ","NZR"
233520,"NWF000000",27/02/2013,31/12/2012,-1257000,73389000,19055000,288063584,"NZD",30/06/2012,"NWF000000",27/02/2013,27/02/2013,"HALFYR","NZNWFE0001S1","  ","NWF"
233521,"JWI000000",27/02/2013,31/12/2012,630000,6084000,14586000,89477174,"NZD",30/06/2012,"JWI000000",27/02/2013,27/02/2013,"HALFYR","NZJWIE0001S3","  ","JLG"
200141,"PPG000000",24/09/2010,01/08/2010,2990000,17708000,1024000,40000000,"NZD",02/08/2009,"PPG000000",24/09/2010,24/09/2010,"FLLYR","NZPPGE0001S8","  ","PPG"
226551,"JWI000000",28/08/2012,30/06/2012,1756000,5434000,11273000,89477174,"NZD",30/06/2011,"JWI000000",28/08/2012,28/08/2012,"FLLYR","NZJWIE0001S3","  ","JLG"
226553,"BRM000000",28/08/2012,30/06/2012,-884000,84799000,0,116855271,"NZD",30/06/2011,"BRM000000",28/08/2012,28/08/2012,"FLLYR","NZBRME0001S2","  ","BRM"
226554,"GEN000000",28/08/2012,30/06/2012,-109000,-727000,0,54603146,"NZD",31/12/2011,"GEN000000",28/08/2012,28/08/2012,"HALFYR","NZGENE0001S7","  ","GEN13"
226557,"MLN000000",28/08/2012,30/06/2012,-11975000,91218000,0,105471848,"NZD",30/06/2011,"MLN000000",28/08/2012,28/08/2012,"FLLYR","NZMLNE0001S0","  ","MLN"
226561,"SEK000000",28/08/2012,30/06/2012,8471000,59054000,1370000,14433328,"NZD",31/12/2011,"SEK000000",28/08/2012,28/08/2012,"HALFYR","NZSEKE0001S8","  ","SEK"
226566,"WDT000000",28/08/2012,30/06/2012,-3292000,8828000,1370000,67366450,"NZD",31/12/2011,"WDT000000",29/08/2012,29/08/2012,"HALFYR","NZWDTE0002S1","  ","WDT"
226569,"GPG000000",28/08/2012,30/06/2012,-36000000,503000000,165000000,1622739966,"GBP",31/12/2011,"GPG000000",29/08/2012,29/08/2012,"HALFYR","GB00B4YZN328","  ","COA"
206122,"TUA000000",25/02/2011,31/12/2010,3027000,19806000,559000,27375271,"NZD",31/12/2010,"TUA000000",25/02/2011,25/02/2011,"FLLYR","NZTUAE0002S1","  ","TUA"
206699,"WHS000000",10/03/2011,30/01/2011,52344000,310027000,0,311195868,"NZD",02/08/2010,"WHS000000",11/03/2011,11/03/2011,"HALFYR","NZWHSE0001S6","  ","WHS"
226949,"STH000000",05/09/2012,30/06/2012,109000,6065000,3079000,25343741,"NZD",30/06/2011,"STH000000",05/09/2012,05/09/2012,"FLLYR","NZSTHE0001S2","  ","STH"
233554,"AIR000000",28/02/2013,31/12/2012,100000000,1751000000,64000000,1092982869,"NZD",30/06/2012,"AIR000000",28/02/2013,28/02/2013,"HALFYR","NZAIRE0001S2","  ","AIR"
233559,"THL000000",01/03/2013,31/12/2012,-466000,161134000,23104000,110199920,"NZD",30/06/2012,"THL000000",28/02/2013,28/02/2013,"HALFYR","NZHELE0001S9","  ","THL"
233562,"WDT000000",28/02/2013,31/12/2012,-7137000,7486000,1188000,80766450,"NZD",31/12/2011,"WDT000000",28/02/2013,28/02/2013,"FLLYR","NZWDTE0002S1","  ","WDT"
191188,"FRE000000",15/02/2010,31/12/2009,14457000,161503000,246858000,153592160,"NZD",30/06/2009,"FRE000000",15/02/2010,15/02/2010,"HALFYR","NZFREE0001S0","  ","FRE"
191335,"OGC000000",18/02/2010,31/12/2009,54512000,392613000,0,185880075,"USD",31/12/2008,"OGC000000",18/02/2010,18/02/2010,"FLLYR","CA6752221037","  ","OGC"
173184,"ZIN000000",21/11/2008,30/09/2008,1226000,4168000,1677000,50489746,"NZD",31/03/2008,"ZIN000000",21/11/2008,21/11/2008,"HALFYR","NZZINE0001S8","  ","ZIN"
