Date,Ticker,Price,Prev250day,Prev250dayPrice,Prev250dayReturn,Next250day,Next250dayPrice,Next250dayReturn
30/06/2010,ABA.NZ,,,,,16/06/2011,3.1691739559173584,
01/07/2010,ABA.NZ,3.26973032951355,,,,17/06/2011,3.1691739559173584,-0.03075372078502614
02/07/2010,ABA.NZ,3.263201951980591,,,,20/06/2011,3.128370761871338,-0.0413186778180914
05/07/2010,ABA.NZ,3.263201951980591,,,,21/06/2011,3.107968330383301,-0.04757095144021706
06/07/2010,ABA.NZ,3.25667405128479,,,,22/06/2011,3.060361862182617,-0.06027996232067678
07/07/2010,ABA.NZ,3.25667405128479,,,,23/06/2011,3.0671653747558594,-0.05819086391349715
08/07/2010,ABA.NZ,3.2175166606903076,,,,24/06/2011,3.080763816833496,-0.042502606288749356
09/07/2010,ABA.NZ,3.2305727005004883,,,,27/06/2011,3.060361862182617,-0.05268751212176759
12/07/2010,ABA.NZ,3.263201951980591,,,,28/06/2011,3.060361862182617,-0.06215983343441567
13/07/2010,ABA.NZ,3.263201951980591,,,,29/06/2011,3.0059595108032227,-0.07883129667204192
14/07/2010,ABA.NZ,3.295836925506592,,,,30/06/2011,3.060361862182617,-0.07144621188676703
15/07/2010,ABA.NZ,3.263201951980591,,,,01/07/2011,3.060361862182617,-0.06215983343441567
16/07/2010,ABA.NZ,3.263201951980591,,,,04/07/2011,3.060361862182617,-0.06215983343441567
19/07/2010,ABA.NZ,3.250152111053467,,,,05/07/2011,3.060361862182617,-0.0583942666022893
20/07/2010,ABA.NZ,3.3284661769866943,,,,06/07/2011,3.0331571102142334,-0.08872226757605461
21/07/2010,ABA.NZ,3.3284661769866943,,,,07/07/2011,3.0331571102142334,-0.08872226757605461
22/07/2010,ABA.NZ,3.3284661769866943,,,,08/07/2011,3.0263609886169434,-0.0907640854092292
23/07/2010,ABA.NZ,3.3545734882354736,,,,11/07/2011,3.060361862182617,-0.08770462983883343
26/07/2010,ABA.NZ,3.3937296867370605,,,,12/07/2011,3.0467631816864014,-0.10223751950741078
27/07/2010,ABA.NZ,3.458994150161743,,,,13/07/2011,2.992353677749634,-0.13490640693633127
28/07/2010,ABA.NZ,3.458994150161743,,,,14/07/2011,2.992353677749634,-0.13490640693633127
29/07/2010,ABA.NZ,3.458994150161743,,,,15/07/2011,2.95835280418396,-0.14473610658010894
30/07/2010,ABA.NZ,3.458994150161743,,,,18/07/2011,2.992353677749634,-0.13490640693633127
02/08/2010,ABA.NZ,3.4851014614105225,,,,19/07/2011,2.965149164199829,-0.14919287227874667
03/08/2010,ABA.NZ,3.524258852005005,,,,20/07/2011,3.060361862182617,-0.13162965868936372
04/08/2010,ABA.NZ,3.576472043991089,,,,21/07/2011,3.0127556324005127,-0.15761801145284748
05/08/2010,ABA.NZ,3.4981515407562256,,,,22/07/2011,3.0195581912994385,-0.1368132123153606
06/08/2010,ABA.NZ,3.5568935871124268,,,,25/07/2011,3.0399601459503174,-0.14533283847318257
09/08/2010,ABA.NZ,3.5568935871124268,,,,26/07/2011,3.0195581912994385,-0.1510687296802743
10/08/2010,ABA.NZ,3.4981515407562256,,,,27/07/2011,3.0195581912994385,-0.1368132123153606
11/08/2010,ABA.NZ,3.5935609340667725,,,,28/07/2011,3.0263609886169434,-0.15783785383261573
12/08/2010,ABA.NZ,3.51981782913208,,,,29/07/2011,2.992353677749634,-0.14985552576523797
13/08/2010,ABA.NZ,3.5332226753234863,,,,01/08/2011,2.992353677749634,-0.15308092562389464
16/08/2010,ABA.NZ,3.5399296283721924,,,,02/08/2011,3.0263609886169434,-0.14507877095607957
17/08/2010,ABA.NZ,3.560041904449463,,,,03/08/2011,3.0467631816864014,-0.1441777194031194
18/08/2010,ABA.NZ,3.553335428237915,,,,04/08/2011,3.0535659790039062,-0.14064797971573495
19/08/2010,ABA.NZ,3.51981782913208,,,,05/08/2011,3.0467631816864014,-0.13439748032707843
20/08/2010,ABA.NZ,3.5466291904449463,,,,08/08/2011,2.9851696491241455,-0.15830793442783408
23/08/2010,ABA.NZ,3.51981782913208,,,,09/08/2011,2.9500465393066406,-0.16187522124289433
24/08/2010,ABA.NZ,3.4862911701202393,,,,10/08/2011,2.9711172580718994,-0.14777133833906708
25/08/2010,ABA.NZ,3.4862911701202393,,,,11/08/2011,2.9711172580718994,-0.14777133833906708
26/08/2010,ABA.NZ,3.4527721405029297,,,,12/08/2011,2.9711172580718994,-0.1394980215407069
27/08/2010,ABA.NZ,3.41924786567688,,,,15/08/2011,2.9711172580718994,-0.13106116467993112
30/08/2010,ABA.NZ,3.41924786567688,,,,16/08/2011,2.9851696491241455,-0.12695137457278305
31/08/2010,ABA.NZ,3.41924786567688,,,,17/08/2011,2.9851696491241455,-0.12695137457278305
01/09/2010,ABA.NZ,3.41924786567688,,,,18/08/2011,2.9640989303588867,-0.13311375869730668
02/09/2010,ABA.NZ,3.412541151046753,,,,19/08/2011,2.9640989303588867,-0.13141005509935388
03/09/2010,ABA.NZ,3.3723156452178955,,,,22/08/2011,2.9500465393066406,-0.12521636475816034
06/09/2010,ABA.NZ,3.392428159713745,,,,23/08/2011,2.9500465393066406,-0.13040264954186465
07/09/2010,ABA.NZ,3.41924786567688,,,,24/08/2011,2.9500465393066406,-0.13722354880445475
08/09/2010,ABA.NZ,3.4527721405029297,,,,25/08/2011,2.9851696491241455,-0.13542813494512074
09/09/2010,ABA.NZ,3.4527721405029297,,,,26/08/2011,3.076479911804199,-0.10898264159531823
10/09/2010,ABA.NZ,3.553335428237915,,,,29/08/2011,2.9921882152557373,-0.15792126139367835
13/09/2010,ABA.NZ,3.553335428237915,,,,30/08/2011,2.9921882152557373,-0.15792126139367835
14/09/2010,ABA.NZ,3.51981782913208,,,,31/08/2011,3.0062406063079834,-0.1459101714223474
15/09/2010,ABA.NZ,3.51981782913208,,,,01/09/2011,3.0062406063079834,-0.1459101714223474
16/09/2010,ABA.NZ,3.392428159713745,,,,02/09/2011,3.0062406063079834,-0.11383809331377215
17/09/2010,ABA.NZ,3.41924786567688,,,,05/09/2011,2.9500465393066406,-0.13722354880445475
20/09/2010,ABA.NZ,3.4527721405029297,,,,06/09/2011,2.9149296283721924,-0.15577121519880988
