Ticker,Date,Trade Date,Next250dayReturn,Next250dayReturn^NZ50,BeatIndex,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Cash Flows from Used in Operating Activities Direct,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow,Repurchase of Capital Stock,Preferred Stock Equity,Capital Lease Obligations,Operating Cash Flow,Other Non Operating Income Expenses,Credit Losses Provision,Non Interest Expense,Special Income Charges,Diluted NI Available to Com Stockholders,Total Expenses,Prev250dayReturn^GSPC,Prev250dayReturn^DJI,Prev250dayReturn^VIX
CEN.NZ,30/06/2017,30/06/2017,0.19276517554691863,0.17005324979508574,True,1972381,1264762,707619,440000,267619,-87619,19048,199048,56190,142857,0,0,715526,715526,142857,142857,1905,89524,-87619,1264762,194286,142857,0,0,482857,0,0,5170476,2527619,2642857,3729524,2642857,2163810,-376190,4097143,2163810,1454286,1448571,715526,715526,478095,-102857,-374286,5714,35238,0,-112381,0,109524,-210476,365714,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
CMO.NZ,30/06/2017,30/06/2017,0.11230448895303402,0.17005324979508574,False,852860,716611,136249,102250,33999,-3852,2022,32169,8634,22232,0,0,32694,32694,22232,22462,0,3852,-3852,716611,3750,22232,-315,-315,40086,0,-84.5444,316892,134007,182885,180864,180864,179836,68929,243373,179836,62509,54449,32695,32695,15827,-11794,-11375,8060,0,0,0,0,0,0,15827,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
CNU.NZ,30/06/2017,30/06/2017,-0.020401375576253877,0.17005324979508574,False,1031000,0,1031000,700000,331000,-154000,9000,159000,46000,113000,0,0,406000,491304,113000,113000,10000,164000,-154000,0,339000,113000,0,0,662000,0,0,4438000,3494000,944000,2553000,944000,802000,-95000,2553000,802000,1768000,1439000,411000,411000,524000,-642000,186000,170000,38000,117000,-638000,0,785000,-675000,-114000,0,0,159000,524000,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
CVT.NZ,30/06/2017,30/06/2017,-0.005187181877336133,0.17005324979508574,False,152548,93310,59238,61396,-2158,-9036,20546,9352,-470,9822,0,0,44333,45601,9822,9917,456,9492,-9036,93310,2493,9822,-132,-132,21469,0,-36.96,256692,92817,163875,230375,163875,129824,129917,230375,129824,66500,61928,48530,48530,-10722,11675,939,4572,3578,4087,-3874,22977,0,-20300,-14596,-31,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
DGL.NZ,30/06/2017,30/06/2017,0.376625749589518,0.17005324979508574,True,250088,115764,134324,66691,67633,-13114,2625,57144,16488,40656,0,0,101130,101130,40656,40656,0,13114,-13114,115764,13791,40656,0,0,70258,0,0,658789,351720,307069,589582,307069,303001,141606,589582,303001,282513,278034,101130,101130,59219,-41425,-17660,4479,14470,12349,-41130,0,33939,-39467,18089,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
EBO.NZ,30/06/2017,30/06/2017,0.05804798033678349,0.17005324979508574,False,7625854,6872190,753664,533676,219988,-19025,-11395,189568,56722,132846,0,0,151768,151768,132846,138723,2079,21104,-19025,6872190,25834,132846,-8387,-8387,244893,0,-2510,3205574,2053176,1152398,1572917,1132070,-64004,242191,1728774,-64004,596879,434523,151914,151914,143943,-221551,119154,162181,65380,21104,-14671,0,224456,-10357,129272,0,0,175,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
FBU.NZ,30/06/2017,30/06/2017,-0.11633071552110164,0.17005324979508574,False,9399000,7319000,2080000,1583000,497000,-111000,-224000,162000,57000,94000,0,0,725137,725137,94000,243040,2000,113000,-111000,7319000,203000,94000,-230000,-230000,505000,0,-80960,7673000,4093000,3580000,5459000,3556000,1878000,1423000,5728000,1878000,2172000,1953000,722829,722829,243000,-607000,229000,219000,99000,125000,-319000,476000,35000,-19000,-76000,-3000,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
FRE.NZ,30/06/2017,30/06/2017,0.07407969705533168,0.17005324979508574,False,545262,0,545262,457596,87666,-9540,3686,81782,20926,60856,0,0,154850,154850,60856,60856,443,9983,-9540,0,13331,60856,0,0,105096,0,0,539893,303325,236568,402809,236568,-106975,3775,402809,-106975,166592,157818,154938,154938,65257,-28968,-34892,8423,24559,9820,-25196,716,0,7174,40061,0,0,351,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
FWL.NZ,30/06/2017,30/06/2017,0.10563527171693887,0.17005324979508574,False,30197,24090,6107,6057,50,-1135,5059,3983,927,3056,0,0,52223,60039,3056,3056,9,1135,-1135,24090,0,3056,-6,-6,5118,0,0,128421,37277,91144,100144,91144,78091,26774,112045,78091,20901,20638,52223,52223,3503,-2973,-2582,263,1115,1135,-4886,0,0,-1015,-1383,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
GEO.NZ,30/06/2017,30/06/2017,-0.6003131558603616,0.17005324979508574,False,3796,0,3796,9084,-5288,34,1691,-3563,0,-3563,0,0,33758,33758,-3563,-3563,34,0,34,0,1213,-3563,0,0,-4075,0,0,12006,2580,9426,9426,9426,-372,-906,10892,-372,1466,602,38767,38767,-3060,-389,3245,864,0,0,-342,3411,0,0,-3402,-166,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
