Ticker,Date,Trade Date,Next250dayReturn,Next250dayReturn^NZ50,BeatIndex,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Cash Flows from Used in Operating Activities Direct,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow,Repurchase of Capital Stock,Preferred Stock Equity,Capital Lease Obligations,Operating Cash Flow,Other Non Operating Income Expenses,Credit Losses Provision,Non Interest Expense,Special Income Charges,Diluted NI Available to Com Stockholders,Total Expenses,Prev250dayReturn^GSPC,Prev250dayReturn^DJI,Prev250dayReturn^VIX
SKT.NZ,30/06/2017,30/06/2017,-0.29567543342638936,0.17005324979508574,False,850938,332787,518151,339873,178278,-18686,0,159592,48789,110501,0,0,734519,734519,110501,110501,514.2857,19200,-18686,332787,100141,110501,0,0,278933,0,0,1797333,532688,1264646,1547858,1263417,-153986,-59902,1547858,-153986,284441,279256,743243,743243,233582,-75848,-174324,5185,17628,21623,-75888,0,248571,-296881,157694,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
SPK.NZ,30/06/2017,30/06/2017,-0.010498564212806816,0.17005324979508574,False,3434000,60000,3374000,2962000,412000,-27000,174000,560000,142000,418000,0,0,1832000,1832000,418000,419493,15000,42000,-27000,60000,430000,418000,-2000,-2000,1034000,0,-507.1429,3331000,1680000,1651000,2343000,1651000,498000,-35000,2638000,498000,987000,935000,1832844,1832844,717000,-380000,-337000,52000,143000,36000,-392000,0,1599000,-1471000,325000,0,0,0,0,0,0,0,0,418000,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
SPN.NZ,30/06/2017,30/06/2017,0.2318656434045978,0.17005324979508574,True,36868,0,36868,24570,12298,-566,80,11812,3364,8448,0,0,26235,26235,8448,8447,10,576,-566,0,3291,8448,2,2,15677,0,0.5696,52555,15332,37223,46823,37223,37223,1015,46823,37223,9600,7925,26235,26235,12068,-3380,-7921,1675,3185,572,-3382,0,0,-1100,8686,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
STU.NZ,30/06/2017,30/06/2017,-0.345608869213504,0.17005324979508574,False,511400,380226,131174,101758,29416,-3040,1676,28052,8012,20040,0,0,96639,97113,20040,20040,51,3091,-3040,380226,7682,20040,0,0,31143,0,0,412727,200597,212130,345504,212130,145282,183681,345504,145282,133374,126857,96699,96699,20842,-32058,15446,6517,8231,3091,-18518,117,35474,0,2324,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
THL.NZ,30/06/2017,30/06/2017,0.6915154836023094,0.17005324979508574,True,340801,92473,248328,201769,46559,-6640,3845,43728,13550,30178,0,0,118899,123921,30178,30268,71,6711,-6640,92473,0,30178,-130,-130,50569,0,-40.3,470027,276083,193944,375620,193944,151559,-3067,375620,151559,182437,175559,121476,121476,14581,-91703,80273,6117,7378,6747,-8569,846,101837,0,6012,0,0,761,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
VCT.NZ,30/06/2017,30/06/2017,0.06749250489652003,0.17005324979508574,False,1159581,460357,699224,424828,274396,-137272,65863,202987,34116,165789,0,0,995651,995651,165789,169406,7110,144382,-137272,460357,199566,165789,-4348,-4348,551283,0,-730.7678,5574596,3126258,2448338,4201363,2430618,1033374,-375543,4601108,1033374,2170490,2155612,995646,995646,335713,-444868,-197338,14878,61241,151667,-354177,0,284557,-318173,-18464,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
VHP.NZ,30/06/2017,30/06/2017,-0.06781977259041483,0.17005324979508574,False,99469,30199,69270,1683,67587,-14554,178115,231148,13526,217622,0,0,421117,421117,217622,217622,96,14650,-14554,30199,0,217622,168549,0,245798,0,0,1392228,512407,879821,1281700,879821,879821,-10967,1281700,879821,401879,398527,428562,428562,57827,-249907,182454,3352,4995,14072,0,157004,219989,-163843,57827,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
VTL.NZ,30/06/2017,30/06/2017,0.3194438233921555,0.17005324979508574,True,32532,0,32532,27409,5123,-2058,2643,5708,408,5118,0,0,28988,28988,5118,5300,87,2145,-2058,0,4235,5300,0,0,12088,0,0,63681,38354,25327,46327,25327,8289,-5713,49327,8289,24000,21929,28988,28988,4075,-3027,500,2071,1590,2347,-2983,0,0,-9500,1092,0,0,0,0,0,0,0,0,0,0,0.1260466480207687,0.16361537733578446,-0.17490773816959992
AIA.NZ,30/06/2018,29/06/2018,0.3711377855739215,0.15226215130001708,True,596533,0,596533,231588,364945,-68788,455746,739154,142896,596258,0,0,1196957,1196957,596258,596258,2018,70806,-68788,0,68788,596258,0,0,878749,0,0,7517931,2306429,5211501,6948179,5211501,5211501,-138219,7101165,5211501,1889663,1791800,1201875,1201875,294598,-30725,-207374,97863,88416,71448,-284601,0,276163,-301752,9997,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
AIR.NZ,30/06/2018,29/06/2018,-0.07637641164397047,0.15226215130001708,False,5485000,987000,4498000,3936000,562000,-33000,11000,540000,150000,390000,0,0,1123000,1133721,390000,390000,40000,73000,-33000,987000,525000,390000,0,0,1138000,0,0,7846000,5670000,2176000,3624000,2176000,2006000,-443000,3789000,2006000,2734000,270000,1122810,1122810,1031000,-778000,-279000,1343000,81000,63000,-809000,0,347000,-329000,222000,0,0,1121000,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
ALF.NZ,30/06/2018,29/06/2018,0.027397181321330066,0.15226215130001708,False,4685,4165,520,11430,-10910,219,13263,2435,210,1535,0,0,16151,16151,1535,1535,676,457,219,4165,546,1535,0,0,3438,0,0,20321,16855,3466,5175,2235,1484,1386,7642,1484,6490,4838,16151,16151,1785,-2865,72,569,323,594,-248,0,1500,-832,1537,0,0,1083,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
ATM.NZ,30/06/2018,29/06/2018,0.2574170854664446,0.15226215130001708,True,845963,420072,425891,168459,257432,2046,296.2487,259774,80297,179477,0,0,724685,744101,179477,179477,2173,126.5707,2046,420072,1994,179477,0,0,261895,0,0,662733,153049,509684,509684,509684,495842,311211,509684,495842,0,0,730039,730039,211967,-19186,6662,312258,63571,0,-4445,6662,0,0,207523,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
CAV.NZ,30/06/2018,29/06/2018,-0.4838709832478263,0.15226215130001708,False,148011,111917,36094,29753,6341,-2798,1713,5256,1175,4081,0,0,68679,68679,4081,3948,36,2834,-2798,111917,0,4081,171,171,7919,0,38.2277,133004,60782,72222,99722,72222,69860,34732,103722,69860,31500,29389,68679,68679,12143,-1321,-10000,2111,-385,2773,-1622,0,0,-10000,10521,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
CEN.NZ,30/06/2018,29/06/2018,0.3753905752595885,0.15226215130001708,True,1974686,1362928,611758,403559,208200,-77043,9172,140328,37604,121068,0,0,716075,716075,121068,102724,917.1788,77960,-77043,1362928,197193,102724,0,0,415482,0,0,4871136,2369990,2501146,3392644,2501146,2096671,-207282,3863157,2096671,1362010,1359259,716287,716287,419151,-68788,-353114,2752,30267,0,-75209,917.1788,108227,-199028,343942,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
CMO.NZ,30/06/2018,29/06/2018,0.1556313194748784,0.15226215130001708,True,902076,755544,146532,106084,40448,-4258,1721,37911,10819,24985,0,0,32695,32695,24985,24985,307,4565,-4258,755544,3741,24985,0,0,46217,0,0,389368,189622,199746,196875,196875,195847,69594,299811,195847,102936,92685,32695,32695,-11354,-14062,27607,10251,9465,4565,-14895,0,0,43997,-26249,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
CNU.NZ,30/06/2018,29/06/2018,0.4481954858153254,0.15226215130001708,True,983000,0,983000,724000,259000,-144000,7000,122000,37000,85000,0,0,422000,531250,85000,85000,7000,151000,-144000,0,387000,85000,0,0,660000,0,0,4926000,3904000,1022000,2829000,1022000,840000,-192000,2829000,840000,2050000,1757000,429000,429000,508000,-770000,142000,50000,30000,117000,-766000,23000,70000,-10000,-258000,0,0,243000,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
CVT.NZ,30/06/2018,29/06/2018,-0.41767490696086285,0.15226215130001708,False,186026,105233,80793,65000,15793,-4319,-335,11139,2928,8211,0,0,48199,49513,8211,8621,654,4973,-4319,105233,2076,8211,-556,-556,18744,0,-146.1503,318567,128875,189692,286392,189692,156295,167942,286392,156295,96700,91753,47957,47957,-22118,-6991,29379,4947,1616,3850,-5534,1024,0,30200,-27652,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
DGL.NZ,30/06/2018,29/06/2018,0.3491272706630335,0.15226215130001708,True,271457,119960,151497,72120,79377,-11888,-2327,65162,18326,46836,0,0,101130,101130,46836,46836,69,11957,-11888,119960,15089,46836,0,0,77119,0,0,708854,365665,343189,628943,343189,338526,151884,628943,338526,285754,281490,101130,101130,57769,-45980,-12320,4264,11914,12457,-46347,0,28514,-27687,11422,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
EBO.NZ,30/06/2018,29/06/2018,0.35232980569642725,0.15226215130001708,True,7609488,6748844,860644,623196,237448,-22721,200,214927,63207,149564,0,0,151914,151914,149564,152413,1780,24501,-22721,6748844,34735,149564,-4036,-4036,278199,0,-1187,3263298,2047080,1216218,1666947,1192959,-24936,262322,1827240,-24936,634388,471025,151314,151314,176171,-96896,-84193,163256,65255,24501,-63344,0,26483,-10000,112827,0,0,107,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
FBU.NZ,30/06/2018,29/06/2018,-0.2053209735213365,0.15226215130001708,False,9471000,7775000,1696000,1661000,35000,-157000,-153000,-275000,-96000,-190000,0,0,745000,745000,-190000,-55262,3000,160000,-157000,7775000,214000,-190000,-207000,-207000,92000,0,-72262,8532000,4390000,4142000,5871000,4118000,2432000,1640000,6056000,2432000,1938000,1273000,850527,850527,396000,-228000,272000,665000,85000,158000,-304000,727000,221000,-538000,92000,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
FRE.NZ,30/06/2018,29/06/2018,0.10851124232331255,0.15226215130001708,False,580886,0,580886,491682,89204,-9642,5128,84666,22505,62161,0,0,155015,155403,62161,63613,180,9822,-9642,0,15954,62161,-1978,-1978,112420,0,-525.7706,560688,302465,258223,420023,258223,-100196,4801,420023,-100196,162212,154390,155116,155116,75710,-24864,-52303,7410,19451,9710,-18405,704,0,-7522,57305,0,0,412,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
FWL.NZ,30/06/2018,29/06/2018,0.3379311088709813,0.15226215130001708,True,38084,30350,7734,7212,522,-1080,3200,2642,837,1805,0,0,52223,60167,1805,1830,1,1081,-1080,30350,0,1805,-37,-37,3760,0,-11.7218,131241,36759,94482,102482,94482,81429,26537,114384,81429,19902,17134,52223,52223,7175,-2104,-2566,2768,1668,1081,-2121,0,0,-999,5054,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
GEO.NZ,30/06/2018,29/06/2018,-0.4516129016752174,0.15226215130001708,False,4037,0,4037,8871,-4834,7,-3854,-8687,0,-8687,0,0,40255,40255,-8687,-3716,7,0,7,0,1128,-8687,-4971,-4971,1265,0,0,8323,4647,3676,3676,3676,-1044,-1150,6670,-1044,2994,999,53172,53172,-2184,-571,3886,1995,0,0,-604,2400,1500,200,-2788,-214,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
GNE.NZ,30/06/2018,29/06/2018,0.40799759401406543,0.15226215130001708,True,2085756,1465010,620747,507292,113455,-68146,-20086,25222,7062,18160,0,0,1001700,1001700,18160,18424,917.1788,69064,-68146,1465010,188664,18160,-366.8715,-366.8715,283317,0,-102.724,3884252,2085206,1799046,2757865,1799046,1464918,-63744,2950472,1464918,1151426,1106209,1007600,1007600,303219,-75392,-208108,45217,47418,0,-69797,0,0,-8255,233422,-1009,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
GSH.NZ,30/06/2018,29/06/2018,-0.3333333498901785,0.15226215130001708,False,23806,5806,18000,14552,3448,-1520,-2202,-273.936,64.635,4498,0,0,43307,54061,4498,1147,2.66,1523,-1520,5806,485.385,-338.571,-2063,-2063,3797,0,-577.6697,35803,23305,12497,31692,12497,-17483,-2316,32540,-17483,20042,18868,43307,43307,-1421,7800,-5817,1174,-30.432,1523,-198.041,0,22898,-28865,-1619,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
HGH.NZ,30/06/2018,29/06/2018,0.0,0.15226215130001708,False,-125483,0,0,0,0,0,0,94294,26781,67513,0,0,538594,538594,67513,67513,0,0,0,0,8409,67513,0,0,0,0,0,4495926,3831766,664160,841563,664160,589759,0,889067,589759,224907,0,558289,558289,-51179,-35931,79658,49588,23818,123783,-8837,58315,150000,0,-60016,0,0,0,0,8748,-22067,84438,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
JLG.NZ,30/06/2018,29/06/2018,0.242363650689025,0.15226215130001708,True,17575,1403,16172,9239,6933,-175,-3897,2861,755,2106,0,0,86016,86016,2106,2191,2,177,-175,1403,2075,2106,-116,-116,5229,0,-30.6117,30436,15914,14522,14522,14522,1394,19,15692,1394,10942,1158,86059,86059,2015,-10073,7157,-957,507,177,-719,0,10130,-1291,1296,0,0,9772,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
MCY.NZ,30/06/2018,29/06/2018,0.2715862595128651,0.15226215130001708,True,1756000,1003000,753000,436000,317000,-90000,98000,325000,91000,234000,0,0,1374982,1374982,234000,234000,2000,92000,-90000,1003000,197000,234000,0,0,614000,0,0,6091000,2805000,3286000,4246000,3286000,3185000,-287000,4591000,3185000,1305000,1300000,1361013,1361013,371000,-260000,-136000,5000,102000,92000,-127000,0,262000,-75000,244000,-50000,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
MEE.NZ,30/06/2018,29/06/2018,-0.8999999930150805,0.15226215130001708,False,-197.6693,0,0,0,0,0,0,-831.9811,0,-1044,0,0,82910,82910,-1044,-831.9811,0,0,0,0,0,-831.9811,0,0,0,0,0,2801,172.5918,2629,0,2629,2629,0,0,2629,0,0,414550,414550,-834.9314,538.4275,0,2438,7.3757,0,0,0,0,0,-834.9314,0,0,0,0,0,0,634.3118,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
MEL.NZ,30/06/2018,29/06/2018,0.5004238235560436,0.15226215130001708,True,2519490,0,2519490,2168211,351279,-68788,-5503,271485,87132,184353,0,0,2563000,2563000,184353,185599,917.1788,69706,-68788,0,245804,184353,-1834,-1834,588829,0,-588.7296,7917087,3493534,4423553,5361827,4423553,4368522,-361368,5774557,4368522,1395029,1295974,2562439,2562439,391635,-205448,-206365,55031,99055,72457,-50445,0,423737,-183436,341190,0,0,44025,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
MET.NZ,30/06/2018,29/06/2018,-0.29384247858515156,0.15226215130001708,False,115089,0,115089,111765,3324,117,136408,139849,14764,125085,0,0,212704,212704,125085,125506,184,67,117,0,7636,125085,-471,-471,148023,0,-49.7239,3290970,1814695,1476275,1630635,1476275,1475069,-35300,1630635,1475069,154360,138062,213132,213132,110674,-159795,62486,16298,0,59,-11844,0,81767,0,98830,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
MGL.NZ,30/06/2018,29/06/2018,-0.1666666356225801,0.15226215130001708,False,28819,18587,10232,14850,-4618,-490,-832,-5940,1901,-7841,0,0,62258,62258,-7841,-7282,0,490,-490,18587,410,-7841,-822,-822,-4218,0,-263.0677,17625,13181,4444,10360,4444,203,-1150,11677,203,7233,6562,64521,64521,-592,-826,1448,-276,0,490,-537,2964,0,-1396,-1129,-120,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
MMH.NZ,30/06/2018,29/06/2018,0.04439518261145503,0.15226215130001708,False,4887,1129,3758,3589,169.075,-266.857,9514,9416,18.512,9398,0,0,41301,41301,9398,9442,6.798,273.655,-266.857,1129,299.489,9398,-44.728,-44.728,10034,0,-0.0879,142585,7422,135163,141213,135163,135163,498.236,141213,135163,6050,6005,41301,41301,9831,280.353,-10202,44.913,18.513,273.656,-2784,0,0,-3800,7047,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
NWF.NZ,30/06/2018,29/06/2018,0.015940088880253445,0.15226215130001708,False,7165,0,7165,6265,900,-795,475,780,15527,-14747,0,0,288064,288064,-14747,-14747,200,795,-795,0,2500,-14747,-42,-42,1575,0,0,56722,12587,44135,54904,44135,40169,2651,55850,40169,11715,9378,288064,288064,3669,-2963,340,2337,0,763,-9463,0,12300,-585,-5794,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
NZK.NZ,30/06/2018,29/06/2018,-0.06881442968405971,0.15226215130001708,False,160271,95011,65260,43592,21668,-690,1709,22687,6562,16125,0,0,138397,138397,16125,16192,198,888,-690,95011,5105,16125,-94,-94,28774,0,-27.1886,215974,49673,166301,176301,166301,121932,92153,176629,121932,10461,0,138475,138475,24838,-14091,-6966,14428,3609,597,-14110,42,124,-89,10728,0,0,133,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
NZO.NZ,30/06/2018,29/06/2018,-0.15000004967053537,0.15226215130001708,False,35811,11,35800,36927,-1127,-207,3059,3633,-1197,4068,0,0,167849,167849,4068,4068,1908,207,-207,11,437,4068,0,0,3840,0,0,184846,33276,151570,144900,144900,144413,98198,144900,144413,0,0,164421,164421,10563,-38802,-3518,98010,3214,0,-38802,3291,0,0,-28239,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
PCT.NZ,30/06/2018,29/06/2018,0.3329695048208625,0.15226215130001708,True,130700,8000,122700,37600,85100,-2200,195300,278200,23300,254900,0,0,1211100,1211100,254900,254900,300,2500,-2200,8000,0,254900,0,0,280700,0,0,2561700,871000,1690700,2452400,1690700,1690700,165400,2452400,1690700,761700,758800,1211100,1211100,74900,-305900,229600,2900,3500,4400,0,0,266200,-117000,74900,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
PGW.NZ,30/06/2018,29/06/2018,-0.1557759732651377,0.15226215130001708,False,1191883,850137,341746,288332,53414,-12583,-9976,30855,12460,17964,0,0,75485,75485,17964,17472,1579,14162,-12583,850137,14042,17472,0,0,59059,0,0,758626,471164,287462,434189,284984,271967,279064,464995,271967,180011,169085,75485,75485,5766,-20854,16611,10926,12446,8550,-23157,0,45940,0,-17391,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
POT.NZ,30/06/2018,29/06/2018,0.2411531278271979,0.15226215130001708,True,283263,68027,215236,86873,128363,-18027,16050,126386,32113,94273,0,0,671479,678223,94273,94273,391,18418,-18027,68027,25269,94273,0,0,170073,0,0,1657031,535051,1121980,1252001,1121980,1103459,-263129,1527336,1103459,405356,399520,680119,680119,99431,-7308,-91471,5836,32030,18228,-17536,0,30167,-5007,81895,-1614,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
SDL.NZ,30/06/2018,29/06/2018,0.0036671232957914413,0.15226215130001708,False,22383,0,22383,20720,1663,5,241,1909,577,1332,0,0,14296,14637,1332,1332,5,0,5,0,369,1332,0,0,2032,0,0,8043,4032,4011,4011,4011,1771,1140,4011,1771,444,0,14560,14560,1622,-900,-846,1956,0,0,-188,188,0,0,1434,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
SKC.NZ,30/06/2018,29/06/2018,-0.008212820579400204,0.15226215130001708,False,912207,70787,847282,606079,262984,-11551,-16965,231893,62374,169519,0,0,669112,669112,169519,168736,387.0494,11938,-12594,64924,86561,169519,1071,982.2985,338215,0,288.099,2544508,1386482,1158026,1666479,1158026,326193,-66711,1666479,326193,466342,432498,674826,674826,265146,-253791,-16070,75955,62744,0,-215055,0,206956,-103145,74034,228,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
SKL.NZ,30/06/2018,29/06/2018,0.28401035678702025,0.15226215130001708,True,240408,151345,89063,50988,38075,-1810,1653,37918,10641,27277,0,0,192806,192806,27277,27277,53,1863,-1810,151345,0,27277,0,0,39781,0,0,252025,79739,172286,212686,172286,125864,73005,212686,125864,40400,30719,192806,192806,28345,-4520,-20696,9681,13228,1863,-5428,0,0,-1415,22917,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
SKT.NZ,30/06/2018,29/06/2018,-0.5203733291769459,0.15226215130001708,False,770182,300935,469247,301040,168207,-16014,-330184,-178037,42704,-221000,0,0,734519,734519,-221000,16733,286.1598,16300,-16014,300935,93932,-221000,-330184,-330184,262379,0,-92452,1378522,436866,941656,1153176,940505,-91022,-34020,1153596,-91022,215853,208786,743243,743243,195921,-53374,-143235,4305,44942,14460,-53401,0,88966,-152523,142520,0,0,2762,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
SPK.NZ,30/06/2018,29/06/2018,0.05774170784938404,0.15226215130001708,False,3589000,62000,3527000,2992000,535000,-31000,20000,525000,140000,385000,0,0,1834000,1834000,385000,409200,15000,46000,-31000,62000,434000,385000,-33000,-33000,1038000,0,-8800,3419000,1878000,1541000,2489000,1541000,334000,85000,2738000,334000,1197000,1142000,1835391,1835391,777000,-484000,-290000,55000,167000,37000,-414000,0,174000,0,363000,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
SPN.NZ,30/06/2018,29/06/2018,-0.004872762132571928,0.15226215130001708,False,40705,0,40705,26861,13844,-479,143,13508,3850,9658,0,0,26235,26235,9658,9451,22,501,-479,0,3361,9658,290,290,17080,0,82.6547,54110,14050,40060,47260,40060,40060,490,47260,40060,7200,6209,26235,26235,12342,-3805,-9221,991,3564,505,-4193,0,0,-2400,12342,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
STU.NZ,30/06/2018,29/06/2018,-0.23233674700607176,0.15226215130001708,False,495806,374394,121412,115924,5488,-4631,-41675,-40818,-8768,-32050,0,0,96821,96821,-32050,2581,53,4684,-4631,374394,8060,-32050,-44105,-44105,7971,0,-9474,345537,172925,172612,282547,172612,115189,169788,282547,115189,109935,104351,97915,97915,1323,33804,-36060,5584,5620,4195,-18964,41,-23439,0,-17641,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
THL.NZ,30/06/2018,29/06/2018,-0.3908986343146754,0.15226215130001708,False,425877,129765,296112,234206,61906,-9357,23644,76169,13815,62354,0,0,122592,126990,62354,62354,30,9387,-9357,129765,0,62354,0,0,85556,0,0,577987,327976,250011,462067,250011,205364,1205,462067,205364,212323,198522,124387,124387,24603,-12962,-4710,13534,6254,9411,-4603,2805,15343,0,20000,0,0,267,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
TLL.NZ,30/06/2018,29/06/2018,-0.2672813473371044,0.15226215130001708,False,325552,0,325552,330515,-4963,-3329,-881,-9173,2490,-12191,0,0,77844,77844,-12191,-12077,102,3431,-3329,0,12417,-12191,-159,-159,6834,0,-44.52,151718,123749,27969,97259,26812,2199,1565,100691,2199,73879,70998,81459,81459,10352,-3104,-7333,2881,3218,3286,-14281,11510,90000,-16432,-3929,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
VCT.NZ,30/06/2018,29/06/2018,0.15290186722026933,0.15226215130001708,True,1238800,545200,693600,467500,226100,-130700,91200,186600,36800,148200,0,0,998370,998370,148200,148200,2200,132900,-130700,545200,225900,148200,0,0,545400,0,0,5808000,3350100,2457900,4611500,2440400,1043200,-238300,4835700,1043200,2395300,2367400,999914,999914,389900,-395700,18800,27900,61300,127000,-386800,0,570800,-400000,3100,14000,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
VHP.NZ,30/06/2018,29/06/2018,0.23825899093752168,0.15226215130001708,True,103936,38229,65707,2765,62942,-22787,77282,117437,17372,100065,0,0,434322,434322,100065,100065,385,23172,-22787,38229,0,100065,0,0,140609,0,0,1786828,798852,987976,1656688,987976,987976,-18159,1656688,987976,668712,663324,436893,436893,45714,-261383,217705,5388,6062,22290,0,0,249910,0,45714,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
VTL.NZ,30/06/2018,29/06/2018,-0.04411576508979209,0.15226215130001708,False,32709,0,32709,27458,5251,-1732,2738,6257,1745,4439,0,0,28988,28988,4439,4512,105,1837,-1732,0,4347,4512,0,0,12441,0,0,64135,34369,29766,50766,29766,12728,-76,51766,12728,22000,17731,28988,28988,7680,-6483,1000,4269,685,1948,-6602,0,0,-2000,1078,0,0,0,0,0,0,0,0,0,0,0.1207324107941532,0.13369753109170657,0.4775022631154955
AIA.NZ,30/06/2019,28/06/2019,-0.31695575709368995,0.0431145324624671,False,685529,0,685529,277767,407761,-73313,269547,603995,103613,500382,0,0,1206269,1206269,500382,500382,1721,75033,-73313,0,97687,500382,0,0,776716,0,0,8313038,2546549,5766488,7437870,5766488,5766488,-433665,7860161,5766488,2093672,2058019,1210675,1210675,359300,-304626,-121009,35653,96635,73982,-228541,0,143376,-71688,130759,0,0,0,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
AIR.NZ,30/06/2019,28/06/2019,-0.32207306724279794,0.0431145324624671,False,5785000,1271000,4514000,4199000,315000,-31000,90000,374000,104000,270000,0,0,1123000,1129707,270000,270000,48000,79000,-31000,1271000,567000,270000,0,0,1020000,0,0,7756000,5667000,2089000,3452000,2089000,1903000,-862000,3598000,1903000,2597000,454000,1122844,1122844,986000,-883000,-391000,1055000,23000,71000,-821000,0,263000,-438000,165000,0,0,1088000,0,0,0,0,0,0,0,0.0529450209108715,0.06742871976239884,0.1930379362427994
